"run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex","run","cumul_day","rep","rep_day"
"2022-07-17","two","1899-12-31 13:30:00","July","fed",6,59,55,57.9166666666667,8,33.1828703703704,0.203671328671324,0.804,"fem",17,7,2,0
"2022-07-17","two","1899-12-31 13:30:00","July","fed",7,70,56,68.9333333333333,2,35.3541666666667,0.189860139860126,0.776,"fem",17,7,2,0
"2022-07-17","two","1899-12-31 13:30:00","July","fed",8,67,31,65.5166666666667,4,34.6875,0.183741258741253,0.786,"fem",17,7,2,0
"2022-07-17","two","1899-12-31 13:30:00","July","fed",9,62,50,60.8333333333333,6,33.75,0.19283216783216,0.794,"fem",17,7,2,0
"2022-07-17","two","1899-12-31 13:30:00","July","fed",10,79,53,77.8833333333333,1,36.9791666666667,0.17237762237761,0.851,"fem",17,7,2,0
"2022-07-18","two","1899-12-31 12:35:00","July","fed",1,81,22,79.3666666666667,3,35.828125,0.192132867132864,0.784,"fem",18,8,2,1
"2022-07-18","two","1899-12-31 12:35:00","July","starvation",2,78,47,76.7833333333333,6,35.3452380952381,0.204020979020971,0.844,"fem",18,8,2,1
"2022-07-18","two","1899-12-31 12:35:00","July","fed",3,76,34,74.5666666666667,8,34.9050925925926,0.190734265734262,0.828,"fem",18,8,2,1
"2022-07-18","two","1899-12-31 12:35:00","July","starvation",4,85,32,83.5333333333333,1,36.5833333333333,0.170454545454539,0.784,"fem",18,8,2,1
"2022-07-18","two","1899-12-31 12:35:00","July","starvation",5,79,51,77.85,5,35.5416666666667,0.201573426573421,0.844,"fem",18,8,2,1
"2022-07-18","two","1899-12-31 12:35:00","July","fed",6,77,19,75.3166666666667,7,35.0546875,0.198601398601393,0.778,"fem",18,8,2,1
"2022-07-18","two","1899-12-31 12:35:00","July","fed",7,73,8,71.1333333333333,10,34.2743055555556,0.183216783216779,0.812,"fem",18,8,2,1
"2022-07-18","two","1899-12-31 12:35:00","July","starvation",8,75,3,73.05,9,34.6231060606061,0.18968531468531,0.837,"fem",18,8,2,1
"2022-07-18","two","1899-12-31 12:35:00","July","starvation",9,84,24,82.4,2,36.375,0.168531468531465,0.802,"fem",18,8,2,1
"2022-07-18","two","1899-12-31 12:35:00","July","fed",10,80,26,78.4333333333333,4,35.6583333333333,0.195804195804192,0.839,"fem",18,8,2,1
"2022-07-19","two","1899-12-31 11:50:00","July","fed",1,68,41,66.6833333333333,1,34.7708333333333,0.189510489510481,0.854,"fem",19,9,2,2
"2022-07-19","two","1899-12-31 11:50:00","July","fed",2,63,17,61.2833333333333,4,33.6833333333333,0.183216783216777,0.782,"fem",19,9,2,2
"2022-07-19","two","1899-12-31 11:50:00","July","fed",3,59,13,57.2166666666667,6,32.8660714285714,0.195629370629363,0.785,"fem",19,9,2,2
"2022-07-19","two","1899-12-31 11:50:00","July","starvation",5,52,9,50.15,8,31.4212962962963,0.201923076923072,0.835,"fem",19,9,2,2
"2022-07-19","two","1899-12-31 11:50:00","July","starvation",6,65,32,63.5333333333333,3,34.140625,0.183041958041953,0.841,"fem",19,9,2,2
"2022-07-19","two","1899-12-31 11:50:00","July","starvation",7,61,21,59.35,5,33.3090277777778,0.194580419580413,0.832,"fem",19,9,2,2
"2022-07-19","two","1899-12-31 11:50:00","July","fed",8,57,41,55.6833333333333,7,32.5462962962963,0.200699300699292,0.834,"fem",19,9,2,2
"2022-07-19","two","1899-12-31 11:50:00","July","starvation",10,67,58,65.9666666666667,2,34.59375,0.187237762237756,0.848,"fem",19,9,2,2
"2022-07-20","two","1899-12-31 12:50:00","July","starvation",1,48,48,46.8,9,31.407196969697,0.200174825174816,0.857,"fem",20,10,2,3
"2022-07-20","two","1899-12-31 12:50:00","July","fed",2,71,23,69.3833333333333,1,35.7916666666667,0.196503496503491,0.853,"fem",20,10,2,3
"2022-07-20","two","1899-12-31 12:50:00","July","starvation",3,67,58,65.9666666666667,4,35.1375,0.194055944055935,0.876,"fem",20,10,2,3
"2022-07-20","two","1899-12-31 12:50:00","July","starvation",4,70,43,68.7166666666667,2,35.6770833333333,0.201748251748242,0.846,"fem",20,10,2,3
"2022-07-20","two","1899-12-31 12:50:00","July","fed",5,65,49,63.8166666666667,6,34.7202380952381,0.183916083916083,0.87,"fem",20,10,2,3
"2022-07-20","two","1899-12-31 12:50:00","July","fed",6,59,9,57.15,8,33.4560185185185,0.204195804195799,0.858,"fem",20,10,2,3
"2022-07-20","two","1899-12-31 12:50:00","July","fed",7,68,38,66.6333333333333,3,35.2708333333333,0.201573426573415,0.858,"fem",20,10,2,3
"2022-07-20","two","1899-12-31 12:50:00","July","starvation",8,63,17,61.2833333333333,7,34.2337962962963,0.187587412587412,0.838,"fem",20,10,2,3
"2022-07-20","two","1899-12-31 12:50:00","July","fed",10,66,54,64.9,5,34.9236111111111,0.188636363636357,0.858,"fem",20,10,2,3
"2022-07-30","two","1899-12-31 15:00:00","July","fed",1,66,28,64.4666666666667,2,35.6145833333333,0.190909090909084,0.772,"fem",21,20,3,0
"2022-07-30","two","1899-12-31 15:00:00","July","fed",2,61,3,59.05,7,34.5572916666667,0.180594405594404,0.818,"fem",21,20,3,0
"2022-07-30","two","1899-12-31 15:00:00","July","fed",3,72,17,70.2833333333333,1,36.6875,0.179195804195796,0.845,"fem",21,20,3,0
"2022-07-30","two","1899-12-31 15:00:00","July","fed",4,61,32,59.5333333333333,6,34.6517857142857,0.180594405594404,0.811,"fem",21,20,3,0
"2022-07-30","two","1899-12-31 15:00:00","July","fed",5,62,37,60.6166666666667,4,34.8625,0.177447552447549,0.84,"fem",21,20,3,0
"2022-07-30","two","1899-12-31 15:00:00","July","fed",6,63,10,61.1666666666667,3,34.9861111111111,0.181993006993003,0.813,"fem",21,20,3,0
"2022-07-30","two","1899-12-31 15:00:00","July","fed",7,59,19,57.3166666666667,9,34.21875,0.188461538461537,0.789,"fem",21,20,3,0
"2022-07-30","two","1899-12-31 15:00:00","July","fed",8,62,11,60.1833333333333,5,34.7986111111111,0.177447552447549,0.809,"fem",21,20,3,0
"2022-07-30","two","1899-12-31 15:00:00","July","fed",9,58,38,56.6333333333333,10,34.0868055555556,0.193706293706292,0.776,"fem",21,20,3,0
"2022-07-30","two","1899-12-31 15:00:00","July","fed",10,59,24,57.4,8,34.2430555555556,0.188461538461537,0.823,"fem",21,20,3,0
"2022-07-31","two","1899-12-31 17:00:00","July","fed",1,67,17,65.2833333333333,7,34.3463541666667,0.18041958041957,0.8,"fem",22,21,3,1
"2022-07-31","two","1899-12-31 17:00:00","July","starvation",2,72,31,70.5166666666667,1,35.375,0.183391608391597,0.835,"fem",22,21,3,1
"2022-07-31","two","1899-12-31 17:00:00","July","starvation",3,66,31,64.5166666666667,9,34.1837121212121,0.177447552447542,0.858,"fem",22,21,3,1
"2022-07-31","two","1899-12-31 17:00:00","July","fed",4,67,59,65.9833333333333,6,34.4851190476191,0.18041958041957,0.837,"fem",22,21,3,1
"2022-07-31","two","1899-12-31 17:00:00","July","fed",5,71,37,69.6166666666667,3,35.2083333333333,0.187062937062927,0.818,"fem",22,21,3,1
"2022-07-31","two","1899-12-31 17:00:00","July","starvation",6,66,26,64.4333333333333,10,34.1614583333333,0.177447552447542,0.807,"fem",22,21,3,1
"2022-07-31","two","1899-12-31 17:00:00","July","starvation",7,69,15,67.25,4,34.7239583333333,0.181468531468518,0.823,"fem",22,21,3,1
"2022-07-31","two","1899-12-31 17:00:00","July","fed",8,66,57,64.95,8,34.26875,0.177447552447542,0.835,"fem",22,21,3,1
"2022-07-31","two","1899-12-31 17:00:00","July","fed",9,68,18,66.3,5,34.5555555555556,0.176573426573414,0.853,"fem",22,21,3,1
"2022-07-31","two","1899-12-31 17:00:00","July","starvation",10,71,42,69.7,2,35.2291666666667,0.187062937062927,0.813,"fem",22,21,3,1
"2022-08-01","two","1899-12-31 13:35:00","July","fed",1,80,14,78.2333333333333,6,35.4702380952381,0.18374125874125,0.791,"fem",23,22,3,2
"2022-08-01","two","1899-12-31 13:35:00","July","starvation",2,86,13,84.2166666666667,3,36.5625,0.185664335664328,0.808,"fem",23,22,3,2
"2022-08-01","two","1899-12-31 13:35:00","July","fed",3,82,43,80.7166666666667,5,35.9375,0.183216783216777,0.789,"fem",23,22,3,2
"2022-08-01","two","1899-12-31 13:35:00","July","starvation",4,87,33,85.55,2,36.7916666666667,0.177972027972019,0.8,"fem",23,22,3,2
"2022-08-01","two","1899-12-31 13:35:00","July","starvation",5,88,24,86.4,1,36.9583333333333,0.169230769230757,0.819,"fem",23,22,3,2
"2022-08-01","two","1899-12-31 13:35:00","July","fed",6,59,41,57.6833333333333,10,31.5173611111111,0.204370629370626,0.782,"fem",23,22,3,2
"2022-08-01","two","1899-12-31 13:35:00","July","fed",7,83,51,81.85,4,36.1708333333333,0.190909090909086,0.844,"fem",23,22,3,2
"2022-08-01","two","1899-12-31 13:35:00","July","fed",8,72,56,70.9333333333333,8,34.1145833333333,0.1847902097902,0.772,"fem",23,22,3,2
"2022-08-01","two","1899-12-31 13:35:00","July","starvation",9,77,42,75.7,7,35.0104166666667,0.191958041958035,0.81,"fem",23,22,3,2
"2022-08-01","two","1899-12-31 13:35:00","July","starvation",10,68,42,66.7,9,33.2973484848485,0.191083916083905,0.797,"fem",23,22,3,2
"2022-08-02","two","1899-12-31 13:15:00","July","starvation",1,78,38,76.6333333333333,5,36.2604166666667,0.177797202797197,0.788,"fem",24,23,3,3
"2022-08-02","two","1899-12-31 13:15:00","July","fed",2,77,42,75.7,6,36.0863095238095,0.19265734265734,0.788,"fem",24,23,3,3
"2022-08-02","two","1899-12-31 13:15:00","July","starvation",3,76,31,74.5166666666667,7,35.8611111111111,0.195804195804193,0.814,"fem",24,23,3,3
"2022-08-02","two","1899-12-31 13:15:00","July","fed",4,75,36,73.6,8,35.6854166666667,0.194055944055941,0.822,"fem",24,23,3,3
"2022-08-02","two","1899-12-31 13:15:00","July","fed",5,70,37,68.6166666666667,10,34.7204861111111,0.186188811188804,0.869,"fem",24,23,3,3
"2022-08-02","two","1899-12-31 13:15:00","July","fed",6,74,59,72.9833333333333,9,35.5625,0.195104895104894,0.807,"fem",24,23,3,3
"2022-08-02","two","1899-12-31 13:15:00","July","starvation",7,82,22,80.3666666666667,2,36.9375,0.169405594405585,0.801,"fem",24,23,3,3
"2022-08-02","two","1899-12-31 13:15:00","July","starvation",8,81,36,79.6,3,36.8020833333333,0.169580419580412,0.795,"fem",24,23,3,3
"2022-08-02","two","1899-12-31 13:15:00","July","starvation",9,80,30,78.5,4,36.5989583333333,0.17395104895104,0.817,"fem",24,23,3,3
"2022-08-02","two","1899-12-31 13:15:00","July","fed",10,83,0,81,1,37.0416666666667,0.175043706293698,0.827,"fem",24,23,3,3
"2022-08-03","two","1899-12-31 12:50:00","July","starvation",1,82,20,80.3333333333333,1,36.5,0.170804195804186,0.798,"fem",25,24,3,4
"2022-08-03","two","1899-12-31 12:50:00","July","starvation",2,25,1,23.0166666666667,8,24.7083333333333,0.246153846153836,0.805,"fem",25,24,3,4
"2022-08-03","two","1899-12-31 12:50:00","July","fed",3,72,39,70.65,6,34.7113095238095,0.183041958041949,0.804,"fem",25,24,3,4
"2022-08-03","two","1899-12-31 12:50:00","July","fed",4,50,30,48.5,7,30.3411458333333,0.20402097902097,0.805,"fem",25,24,3,4
